"sample_id","m","Method","Order.q","SC","qD","qD.LCL","qD.UCL","site_code","habitat","nonchim"
"hja2016_001",10000,"Rarefaction",0,0.999185317248385,362.35692657393,359.120738509583,365.593114638276,"50","planktonic",15203
"hja2016_001",10000,"Rarefaction",1,0.999185317248385,215.913651482574,211.910160215882,219.917142749265,"50","planktonic",15203
"hja2016_001",10000,"Rarefaction",2,0.999185317248385,118.775677032791,113.109826649748,124.441527415834,"50","planktonic",15203
"hja2016_005",10000,"Rarefaction",0,0.999797514471326,279.669017320223,278.036643472842,281.301391167605,"50","hyporheic",12557
"hja2016_005",10000,"Rarefaction",1,0.999797514471326,114.857767326424,111.56048432836,118.155050324488,"50","hyporheic",12557
"hja2016_005",10000,"Rarefaction",2,0.999797514471326,30.2865121630318,28.4522855557497,32.1207387703138,"50","hyporheic",12557
"hja2016_008",10000,"Rarefaction",0,0.995769441205997,802.970644285719,798.925888412159,807.015400159279,"WS3-1","hyporheic",22897
"hja2016_008",10000,"Rarefaction",1,0.995769441205997,566.808422640477,561.331017393948,572.285827887006,"WS3-1","hyporheic",22897
"hja2016_008",10000,"Rarefaction",2,0.995769441205997,426.642686575642,418.916739314133,434.368633837152,"WS3-1","hyporheic",22897
"hja2016_009",10000,"Rarefaction",0,0.997672259989916,736.977536582464,733.984839083727,739.970234081202,"60","hyporheic",28180
"hja2016_009",10000,"Rarefaction",1,0.997672259989916,524.590883130921,518.867804149141,530.313962112702,"60","hyporheic",28180
"hja2016_009",10000,"Rarefaction",2,0.997672259989916,357.221865783245,347.729095980627,366.714635585862,"60","hyporheic",28180
"hja2016_010",10000,"Rarefaction",0,0.999777813606408,258.598030951471,256.65420699748,260.541854905461,"164","planktonic",14451
"hja2016_010",10000,"Rarefaction",1,0.999777813606408,177.231038992591,174.459381020738,180.002696964444,"164","planktonic",14451
"hja2016_010",10000,"Rarefaction",2,0.999777813606408,127.920168210161,123.628520093133,132.21181632719,"164","planktonic",14451
"hja2016_011",10000,"Rarefaction",0,0.981675554348576,1386.58326795502,1382.96914756186,1390.19738834818,"WS1-6","planktonic",148270
"hja2016_011",10000,"Rarefaction",1,0.981675554348576,875.803686769917,870.618457758439,880.988915781394,"WS1-6","planktonic",148270
"hja2016_011",10000,"Rarefaction",2,0.981675554348576,478.253455557642,469.094457569404,487.41245354588,"WS1-6","planktonic",148270
"hja2016_013",10000,"Rarefaction",0,0.9947957298254,905.321478260604,900.016701521262,910.626254999946,"WS1-4","planktonic",24949
"hja2016_013",10000,"Rarefaction",1,0.9947957298254,649.98721719155,642.962840688522,657.011593694579,"WS1-4","planktonic",24949
"hja2016_013",10000,"Rarefaction",2,0.9947957298254,489.236162905498,478.574858172524,499.897467638471,"WS1-4","planktonic",24949
"hja2016_014",10000,"Rarefaction",0,0.996839801387787,754.555596960284,750.82266788864,758.288526031928,"WS1-6","hyporheic",23257
"hja2016_014",10000,"Rarefaction",1,0.996839801387787,530.412867602345,525.195543503354,535.630191701336,"WS1-6","hyporheic",23257
"hja2016_014",10000,"Rarefaction",2,0.996839801387787,385.318192945688,376.840132938513,393.796252952863,"WS1-6","hyporheic",23257
"hja2016_015",10000,"Rarefaction",0,0.99905235737795,417.323208315878,413.426884457512,421.219532174243,"47","hyporheic",12268
"hja2016_015",10000,"Rarefaction",1,0.99905235737795,289.733890220428,285.901143953499,293.566636487357,"47","hyporheic",12268
"hja2016_015",10000,"Rarefaction",2,0.99905235737795,210.795733558873,205.72847466366,215.862992454086,"47","hyporheic",12268
"hja2016_016",10000,"Rarefaction",0,0.999419509067125,274.620029759631,271.925171007767,277.314888511494,"74","hyporheic",13284
"hja2016_016",10000,"Rarefaction",1,0.999419509067125,42.6853830397226,40.8085101625971,44.5622559168481,"74","hyporheic",13284
"hja2016_016",10000,"Rarefaction",2,0.999419509067125,5.58917399614198,5.36618548428269,5.81216250800126,"74","hyporheic",13284
"hja2016_018",10000,"Rarefaction",0,0.984621943819512,1174.16804367751,1168.19143656799,1180.14465078703,"WS1-5","hyporheic",41082
"hja2016_018",10000,"Rarefaction",1,0.984621943819512,414.94032103267,408.611034916189,421.269607149151,"WS1-5","hyporheic",41082
"hja2016_018",10000,"Rarefaction",2,0.984621943819512,110.0324248125,107.037771576977,113.027078048024,"WS1-5","hyporheic",41082
"hja2016_019",10000,"Rarefaction",0,0.998088418179741,674.335625014962,670.15529940684,678.515950623085,"155","hyporheic",19861
"hja2016_019",10000,"Rarefaction",1,0.998088418179741,502.856315308256,496.99743045756,508.715200158952,"155","hyporheic",19861
"hja2016_019",10000,"Rarefaction",2,0.998088418179741,395.816017625972,387.428166519858,404.203868732085,"155","hyporheic",19861
"hja2016_020",10000,"Rarefaction",0,0.974841318200371,1653.33673459878,1647.86240021292,1658.81106898464,"WS1-2","hyporheic",100353
"hja2016_020",10000,"Rarefaction",1,0.974841318200371,1142.94539570115,1136.587021997,1149.30376940531,"WS1-2","hyporheic",100353
"hja2016_020",10000,"Rarefaction",2,0.974841318200371,803.162632843842,794.299892917767,812.025372769916,"WS1-2","hyporheic",100353
"hja2016_021",10000,"Rarefaction",0,0.999156894090876,402.997266238676,401.282008038177,404.712524439175,"156","hyporheic",35465
"hja2016_021",10000,"Rarefaction",1,0.999156894090876,223.529825335906,220.665937997842,226.39371267397,"156","hyporheic",35465
"hja2016_021",10000,"Rarefaction",2,0.999156894090876,105.477486969151,102.194808520999,108.760165417304,"156","hyporheic",35465
"hja2016_027",10000,"Rarefaction",0,0.993179409700211,864.300219286484,859.807682096776,868.792756476193,"WS3-6","planktonic",29534
"hja2016_027",10000,"Rarefaction",1,0.993179409700211,470.57022853813,464.419586299986,476.720870776274,"WS3-6","planktonic",29534
"hja2016_027",10000,"Rarefaction",2,0.993179409700211,190.685523061391,183.458332889764,197.912713233018,"WS3-6","planktonic",29534
"hja2016_065",10000,"Rarefaction",0,0.99683452163519,901.790369722686,896.641926289439,906.938813155933,"68","hyporheic",14481
"hja2016_065",10000,"Rarefaction",1,0.99683452163519,653.372619646583,645.406566845044,661.338672448123,"68","hyporheic",14481
"hja2016_065",10000,"Rarefaction",2,0.99683452163519,424.586059244996,404.003976095612,445.168142394379,"68","hyporheic",14481
"hja2016_066",10000,"Rarefaction",0,0.986059582893578,1341.42229570309,1337.98603408851,1344.85855731768,"49","hyporheic",116149
"hja2016_066",10000,"Rarefaction",1,0.986059582893578,949.31445851841,944.38162329791,954.247293738909,"49","hyporheic",116149
"hja2016_066",10000,"Rarefaction",2,0.986059582893578,683.483614227216,676.407627659309,690.559600795124,"49","hyporheic",116149
"hja2016_070",10000,"Rarefaction",0,0.996830757381941,684.163164296411,680.421098337248,687.905230255574,"56","hyporheic",31464
"hja2016_070",10000,"Rarefaction",1,0.996830757381941,463.124725499819,459.437865816384,466.811585183253,"56","hyporheic",31464
"hja2016_070",10000,"Rarefaction",2,0.996830757381941,344.303583759966,338.695809803765,349.911357716167,"56","hyporheic",31464
"hja2016_071",10000,"Rarefaction",0,0.982486933299159,1548.89085570643,1541.43403810958,1556.34767330327,"164","hyporheic",28407
"hja2016_071",10000,"Rarefaction",1,0.982486933299159,1029.68879146865,1019.60147494437,1039.77610799293,"164","hyporheic",28407
"hja2016_071",10000,"Rarefaction",2,0.982486933299159,611.841640717451,593.123308654106,630.559972780796,"164","hyporheic",28407
"hja2016_075",10000,"Rarefaction",0,0.997733338098402,713.01307983061,709.946821394733,716.079338266486,"260","hyporheic",22114
"hja2016_075",10000,"Rarefaction",1,0.997733338098402,498.443233567781,492.659494492692,504.226972642871,"260","hyporheic",22114
"hja2016_075",10000,"Rarefaction",2,0.997733338098402,315.822323189535,302.795454603779,328.849191775291,"260","hyporheic",22114
"hja2016_078",10000,"Rarefaction",0,0.997551418852338,775.68274606848,771.871554863208,779.493937273751,"CC-1","hyporheic",20271
"hja2016_078",10000,"Rarefaction",1,0.997551418852338,543.828277265967,538.276086090874,549.38046844106,"CC-1","hyporheic",20271
"hja2016_078",10000,"Rarefaction",2,0.997551418852338,342.556714213326,332.223924682968,352.889503743684,"CC-1","hyporheic",20271
